4733.80 3831.97 4612.17
40
1328.15 480.72 0.00 15.68 60.74 262.57
3327.29 9361.86 0.00 14.14 84.29 280.93
5157.41 9249.95 0.00 20.56 86.31 225.62
2097.24 9096.66 0.00 23.70 95.98 291.80
1360.21 9452.97 0.00 23.61 89.81 218.73
2469.36 7433.48 0.00 22.69 63.59 258.54
6737.61 3724.62 0.00 10.77 58.64 220.32
7186.92 7107.78 0.00 17.00 73.94 228.05
5321.41 6554.38 0.00 19.87 88.47 214.47
8368.86 4609.65 0.00 15.19 70.83 261.13
2746.10 8211.99 0.00 19.12 84.75 214.41
4450.05 2628.76 0.00 15.03 64.99 250.82
6548.11 996.20 0.00 23.44 69.31 256.44
7640.30 4200.66 0.00 24.21 79.20 229.44
2982.69 5757.82 0.00 11.27 63.16 278.42
7726.89 7744.83 0.00 17.75 98.34 264.85
9646.28 8822.46 0.00 18.42 84.83 299.64
6683.36 8497.84 0.00 24.54 76.69 209.46
3269.54 5083.00 0.00 20.81 53.71 277.84
3552.84 8112.02 0.00 20.85 58.12 276.90
4067.40 3469.17 0.00 24.61 90.31 220.67
861.24 1987.54 0.00 18.78 83.58 225.27
3659.81 3276.98 0.00 17.02 79.81 293.57
7246.94 6025.17 0.00 10.54 79.44 270.40
2821.44 3604.76 0.00 22.49 67.88 261.05
5537.40 433.22 0.00 16.18 73.98 261.08
6024.11 2640.81 0.00 23.69 75.66 237.37
8130.82 7222.98 0.00 18.10 79.13 268.69
9033.71 4084.19 0.00 21.53 72.17 243.12
1751.91 473.38 0.00 11.53 69.76 238.73
6873.62 118.37 0.00 20.72 92.38 200.32
4294.13 5145.11 0.00 16.87 94.43 249.73
2247.99 6529.89 0.00 16.72 93.39 201.54
526.66 4932.18 0.00 13.39 74.78 220.42
4074.47 8041.11 0.00 12.40 74.14 292.32
4487.66 7534.20 0.00 21.84 59.69 260.13
2796.96 5384.84 0.00 18.73 64.85 274.17
4491.32 7124.74 0.00 21.14 81.68 296.79
3016.02 7858.90 0.00 21.17 83.35 247.38
284.36 8890.05 0.00 18.42 85.27 275.61
3
5959.94 9279.11 0.00 14.39
2923.50 828.40 0.00 14.01
506.42 735.68 0.00 18.34
