7112.71 7851.55 4823.09
40
6034.16 5164.34 0.00 17.97 65.75 216.56
7579.63 4983.85 0.00 22.66 76.39 277.48
5277.10 4692.19 0.00 24.30 67.78 257.46
5681.89 5747.78 0.00 17.75 82.25 290.88
1063.53 3839.09 0.00 20.76 61.57 272.14
1577.12 7507.44 0.00 13.45 71.21 226.95
3973.15 7245.25 0.00 12.89 60.24 268.83
1055.37 8423.23 0.00 14.42 78.04 268.14
5577.04 9916.44 0.00 17.47 88.73 244.54
2704.38 7365.32 0.00 15.14 88.08 242.84
4975.02 4829.03 0.00 17.54 91.30 209.72
7419.70 3549.15 0.00 16.67 66.55 292.41
9411.89 2086.32 0.00 22.17 50.27 278.81
1379.02 6607.57 0.00 18.90 87.11 212.21
4705.50 5415.33 0.00 15.36 57.89 239.95
1868.16 8780.52 0.00 13.36 96.60 243.72
3242.32 4541.13 0.00 12.33 60.28 231.40
6951.01 3751.31 0.00 21.37 78.68 214.18
6874.80 7213.21 0.00 16.43 83.89 234.17
2033.36 9151.77 0.00 20.39 75.02 278.63
8642.25 1726.64 0.00 21.14 85.69 235.58
2859.38 4996.42 0.00 20.97 71.61 290.89
7845.70 9486.71 0.00 14.87 70.37 249.18
2692.10 6973.05 0.00 14.87 91.72 253.25
9582.82 619.22 0.00 11.06 85.58 264.87
645.38 8691.54 0.00 17.77 98.07 203.12
3853.35 4051.61 0.00 21.06 89.30 261.27
5239.73 4333.16 0.00 20.12 89.26 230.20
8343.84 8033.22 0.00 13.19 82.69 270.95
2705.00 3935.10 0.00 21.49 86.27 215.31
4084.88 5452.80 0.00 19.07 57.64 278.17
3794.92 8124.52 0.00 21.28 98.42 293.62
2008.87 5548.91 0.00 10.01 98.28 247.43
2749.16 7263.22 0.00 13.89 99.27 280.98
7429.49 2124.93 0.00 19.78 54.92 226.64
9425.61 536.29 0.00 15.67 58.27 275.30
1285.58 1132.42 0.00 20.97 58.71 237.73
649.83 1410.85 0.00 21.98 93.31 258.03
7971.68 5308.08 0.00 19.32 91.05 234.64
8499.26 8076.94 0.00 24.65 63.08 211.89
3
5634.72 5206.30 0.00 11.68
7422.80 4530.91 0.00 13.20
4847.22 7525.37 0.00 16.92
